,gid,plaid,posid,teamid,teamname,newpos,newposname
191,191,20016,2,780,Portugal,1,Def
192,192,3193,16,780,Portugal,2,Mid
193,193,3329,1,780,Portugal,1,Def
194,194,5207,23,780,Portugal,3,Fw
195,195,5214,14,780,Portugal,2,Mid
196,196,5209,5,780,Portugal,1,Def
197,197,5204,15,780,Portugal,2,Mid
198,198,3960,4,780,Portugal,1,Def
199,199,5205,0,780,Portugal,0,GK
200,200,3168,12,780,Portugal,2,Mid
201,201,4367,21,780,Portugal,3,Fw
202,202,5208,14,772,Spain,2,Mid
203,203,4272,15,780,Portugal,2,Mid
204,204,5215,16,780,Portugal,2,Mid
205,205,5217,22,772,Spain,3,Fw
206,206,5218,21,780,Portugal,3,Fw
207,207,5200,16,772,Spain,2,Mid
208,208,5587,18,786,Serbia,2,Mid
209,209,4269,22,786,Serbia,3,Fw
210,210,5589,8,786,Serbia,1,Def
211,211,5596,5,786,Serbia,1,Def
212,212,5591,20,786,Serbia,2,Mid
213,213,5601,0,786,Serbia,0,GK
214,214,5588,1,786,Serbia,1,Def
215,215,3831,16,786,Serbia,2,Mid
216,216,3381,10,786,Serbia,1,Def
217,217,5551,4,781,Brazil,1,Def
218,218,4320,20,781,Brazil,2,Mid
219,219,6320,5,781,Brazil,1,Def
220,220,3501,14,781,Brazil,2,Mid
221,221,5542,12,781,Brazil,2,Mid
222,222,3295,2,781,Brazil,1,Def
223,223,3202,22,781,Brazil,3,Fw
224,224,5539,9,781,Brazil,1,Def
225,225,5838,1,781,Brazil,1,Def
226,226,3472,16,781,Brazil,2,Mid
227,227,6321,4,786,Serbia,1,Def
228,228,5603,2,786,Serbia,1,Def
229,229,5547,0,781,Brazil,0,GK
230,230,3054,12,781,Brazil,2,Mid
231,231,5553,14,781,Brazil,2,Mid
232,232,5833,20,786,Serbia,2,Mid
233,233,6318,18,786,Serbia,2,Mid
234,234,6319,22,786,Serbia,3,Fw
235,235,3186,20,770,Germany,2,Mid
236,236,5574,10,770,Germany,1,Def
237,237,6040,5,770,Germany,1,Def
238,238,3167,4,770,Germany,1,Def
239,239,5578,2,770,Germany,1,Def
240,240,5579,1,770,Germany,1,Def
241,241,6039,8,770,Germany,1,Def
242,242,5559,18,770,Germany,2,Mid
243,243,5562,16,770,Germany,2,Mid
244,244,5557,22,770,Germany,3,Fw
245,245,5570,0,770,Germany,0,GK
246,246,3702,2,790,Sweden,1,Def
247,247,10287,8,770,Germany,1,Def
248,248,5565,20,770,Germany,2,Mid
249,249,5555,5,770,Germany,1,Def
250,250,5540,12,773,Switzerland,2,Mid
251,251,5537,2,773,Switzerland,1,Def
252,252,3533,16,773,Switzerland,2,Mid
253,253,3500,14,773,Switzerland,2,Mid
254,254,5554,18,773,Switzerland,2,Mid
255,255,5541,1,773,Switzerland,1,Def
256,256,5549,4,773,Switzerland,1,Def
257,257,5544,5,773,Switzerland,1,Def
258,258,5548,20,773,Switzerland,2,Mid
259,259,5543,24,773,Switzerland,3,Fw
260,260,5550,0,773,Switzerland,0,GK
261,261,5594,1,786,Serbia,1,Def
262,262,5580,4,786,Serbia,1,Def
263,263,3455,12,786,Serbia,2,Mid
264,264,5545,18,773,Switzerland,2,Mid
265,265,5834,24,773,Switzerland,3,Fw
266,266,3094,14,768,England,2,Mid
267,267,3244,3,768,England,1,Def
268,268,3205,2,768,England,1,Def
269,269,3532,9,768,England,1,Def
270,270,3336,4,768,England,1,Def
271,271,3612,15,768,England,2,Mid
272,272,3308,11,768,England,2,Mid
273,273,3293,12,768,England,2,Mid
274,274,3233,21,768,England,3,Fw
275,275,5655,1,777,Tunisia,1,Def
276,276,5656,2,777,Tunisia,1,Def
277,277,5654,11,777,Tunisia,2,Mid
278,278,3767,9,777,Tunisia,1,Def
279,279,5647,5,777,Tunisia,1,Def
280,280,3557,15,777,Tunisia,2,Mid
281,281,5650,12,777,Tunisia,2,Mid
282,282,5649,14,777,Tunisia,2,Mid
283,283,10955,23,768,England,3,Fw
284,284,3468,0,768,England,0,GK
285,285,5648,0,777,Tunisia,0,GK
286,286,5651,4,777,Tunisia,1,Def
287,287,3196,22,777,Tunisia,3,Fw
288,288,3318,21,768,England,3,Fw
289,289,3504,14,768,England,2,Mid
290,290,3602,4,779,Argentina,1,Def
291,291,5507,5,779,Argentina,1,Def
292,292,3090,2,779,Argentina,1,Def
293,293,5742,1,779,Argentina,1,Def
294,294,5496,20,779,Argentina,2,Mid
295,295,5503,22,779,Argentina,3,Fw
296,296,5506,9,779,Argentina,1,Def
297,297,6312,0,779,Argentina,0,GK
298,298,5741,12,779,Argentina,2,Mid
299,299,2995,16,779,Argentina,2,Mid
300,300,5504,14,779,Argentina,2,Mid
301,301,6349,4,779,Argentina,1,Def
302,302,5499,16,779,Argentina,2,Mid
303,303,3237,22,779,Argentina,3,Fw
304,304,5480,20,771,France,2,Mid
305,305,5552,5,781,Brazil,1,Def
306,306,3101,4,782,Belgium,1,Def
307,307,4831,14,782,Belgium,2,Mid
308,308,3296,12,782,Belgium,2,Mid
309,309,3535,22,781,Brazil,3,Fw
310,310,5837,16,781,Brazil,2,Mid
311,311,3471,2,785,Croatia,1,Def
312,312,5469,9,785,Croatia,1,Def
313,313,5463,12,785,Croatia,2,Mid
314,314,5468,4,785,Croatia,1,Def
315,315,5457,5,785,Croatia,1,Def
316,316,5470,14,785,Croatia,2,Mid
317,317,5472,22,785,Croatia,3,Fw
318,318,5461,1,785,Croatia,1,Def
319,319,5465,11,785,Croatia,2,Mid
320,320,5474,15,785,Croatia,2,Mid
321,321,3444,0,785,Croatia,0,GK
322,322,3815,0,776,Denmark,0,GK
323,323,5534,2,776,Denmark,1,Def
324,324,3959,12,776,Denmark,2,Mid
325,325,3027,4,776,Denmark,1,Def
326,326,4763,1,776,Denmark,1,Def
327,327,5536,16,776,Denmark,2,Mid
328,328,3043,24,776,Denmark,3,Fw
329,329,4447,20,776,Denmark,2,Mid
330,330,5732,22,776,Denmark,3,Fw
331,331,6355,5,776,Denmark,1,Def
332,332,5527,14,776,Denmark,2,Mid
333,333,5520,12,776,Denmark,2,Mid
334,334,5522,22,776,Denmark,3,Fw
335,335,5456,9,785,Croatia,1,Def
336,336,6308,5,785,Croatia,1,Def
337,337,5460,15,785,Croatia,2,Mid
338,338,6356,14,776,Denmark,2,Mid
339,339,5516,20,776,Denmark,2,Mid
340,340,6305,15,785,Croatia,2,Mid
341,341,5454,0,775,Nigeria,0,GK
342,342,5462,15,775,Nigeria,2,Mid
343,343,5830,4,775,Nigeria,1,Def
344,344,5455,3,775,Nigeria,1,Def
345,345,5467,2,775,Nigeria,1,Def
346,346,5475,13,775,Nigeria,2,Mid
347,347,5466,14,775,Nigeria,2,Mid
348,348,5473,21,775,Nigeria,3,Fw
349,349,3708,23,775,Nigeria,3,Fw
350,350,3963,11,775,Nigeria,2,Mid
351,351,3338,12,775,Nigeria,2,Mid
352,352,5832,15,775,Nigeria,2,Mid
353,353,5501,5,793,Iceland,1,Def
354,354,5829,23,793,Iceland,3,Fw
355,355,5514,21,793,Iceland,3,Fw
356,356,5509,15,793,Iceland,2,Mid
357,357,5505,2,793,Iceland,1,Def
358,358,5508,1,793,Iceland,1,Def
359,359,5495,11,793,Iceland,2,Mid
360,360,3944,10,793,Iceland,1,Def
361,361,5515,8,793,Iceland,1,Def
362,362,5498,0,793,Iceland,0,GK
363,363,5500,23,793,Iceland,3,Fw
364,364,5831,4,793,Iceland,1,Def
365,365,5502,8,793,Iceland,1,Def
366,366,5458,21,775,Nigeria,3,Fw
367,367,3647,18,775,Nigeria,2,Mid
368,368,5471,1,775,Nigeria,1,Def
369,369,5459,22,785,Croatia,3,Fw
370,370,5598,4,795,Costa Rica,1,Def
371,371,5592,20,795,Costa Rica,2,Mid
372,372,5602,6,795,Costa Rica,1,Def
373,373,5595,16,795,Costa Rica,2,Mid
374,374,5582,12,795,Costa Rica,2,Mid
375,375,5590,2,795,Costa Rica,1,Def
376,376,5599,14,795,Costa Rica,2,Mid
377,377,5836,7,795,Costa Rica,1,Def
378,378,5586,22,795,Costa Rica,3,Fw
379,379,5597,0,795,Costa Rica,0,GK
380,380,5584,3,795,Costa Rica,1,Def
381,381,5561,2,794,Mexico,1,Def
382,382,5566,12,770,Germany,2,Mid
383,383,5572,4,770,Germany,1,Def
384,384,5569,5,770,Germany,1,Def
385,385,3496,18,770,Germany,2,Mid
386,386,5523,8,784,Peru,1,Def
387,387,3281,14,792,Australia,2,Mid
388,388,3240,0,792,Australia,0,GK
389,389,5478,2,792,Australia,1,Def
390,390,5489,12,792,Australia,2,Mid
391,391,5482,1,792,Australia,1,Def
392,392,5488,4,792,Australia,1,Def
393,393,5479,5,792,Australia,1,Def
394,394,5494,15,792,Australia,2,Mid
395,395,5491,18,792,Australia,2,Mid
396,396,5481,11,792,Australia,2,Mid
397,397,5493,22,792,Australia,3,Fw
398,398,5483,15,792,Australia,2,Mid
399,399,6314,22,792,Australia,3,Fw
400,400,5490,18,792,Australia,2,Mid
401,401,6313,11,784,Peru,2,Mid
402,402,6315,8,784,Peru,1,Def
403,403,5685,12,769,Colombia,2,Mid
404,404,3684,12,787,Senegal,2,Mid
405,405,3145,20,787,Senegal,2,Mid
406,406,6335,1,787,Senegal,1,Def
407,407,6334,18,769,Colombia,2,Mid
408,408,6342,0,777,Tunisia,0,GK
409,409,6345,2,777,Tunisia,1,Def
410,410,6347,12,777,Tunisia,2,Mid
411,411,5936,1,777,Tunisia,1,Def
412,412,3252,5,777,Tunisia,1,Def
413,413,6346,1,798,Panama,1,Def
414,414,6344,5,798,Panama,1,Def
415,415,6138,14,798,Panama,2,Mid
416,416,6348,14,777,Tunisia,2,Mid
417,417,6328,4,795,Costa Rica,1,Def
418,418,5585,20,795,Costa Rica,2,Mid
419,419,5581,22,795,Costa Rica,3,Fw
420,420,5538,8,773,Switzerland,1,Def
421,421,5835,22,773,Switzerland,3,Fw
422,422,5546,2,773,Switzerland,1,Def
423,423,5486,22,792,Australia,3,Fw
424,424,2948,20,771,France,2,Mid
425,425,6300,2,783,Uruguay,1,Def
426,426,5677,5,796,Russia,1,Def
427,427,5174,4,796,Russia,1,Def
428,428,6298,1,796,Russia,1,Def
429,429,5182,16,796,Russia,2,Mid
430,430,5181,10,796,Russia,1,Def
431,431,6299,18,796,Russia,2,Mid
432,432,5171,8,796,Russia,1,Def
433,433,5175,2,796,Russia,1,Def
434,434,5195,22,796,Russia,3,Fw
435,435,5186,20,796,Russia,2,Mid
436,436,5172,0,796,Russia,0,GK
437,437,5170,1,796,Russia,1,Def
438,438,5179,8,796,Russia,1,Def
439,439,5194,20,796,Russia,2,Mid
440,440,6357,9,794,Mexico,1,Def
441,441,5568,22,794,Mexico,3,Fw
442,442,5524,5,776,Denmark,1,Def
443,443,5600,7,795,Costa Rica,1,Def
444,444,5593,20,795,Costa Rica,2,Mid
445,445,5697,16,778,Japan,2,Mid
446,446,3530,1,778,Japan,1,Def
447,447,3300,2,778,Japan,1,Def
448,448,5693,10,778,Japan,1,Def
449,449,5679,22,778,Japan,3,Fw
450,450,5684,18,778,Japan,2,Mid
451,451,5690,5,778,Japan,1,Def
452,452,5681,8,778,Japan,1,Def
453,453,5687,20,778,Japan,2,Mid
454,454,5682,4,778,Japan,1,Def
455,455,3175,0,778,Japan,0,GK
456,456,5694,10,778,Japan,1,Def
457,457,5683,16,778,Japan,2,Mid
458,458,5513,11,779,Argentina,2,Mid
459,459,19597,15,779,Argentina,2,Mid
460,460,3659,0,779,Argentina,0,GK
461,461,5497,22,779,Argentina,3,Fw
462,462,5743,8,779,Argentina,1,Def
463,463,6351,23,783,Uruguay,3,Fw
