,nullid,toid,nullpos,topos,period
0,754,7866,12,12,671
0,755,7886,0,0,673
0,755,7892,0,0,673
0,756,7864,14,14,671
0,757,7869,20,20,671
0,758,7886,0,0,673
0,758,7892,0,0,673
0,759,7895,4,4,674
0,760,7899,5,5,674
0,761,7903,16,16,674
0,761,7904,16,16,674
0,762,7903,16,16,674
0,762,7904,16,16,674
0,763,7910,0,0,675
0,764,7910,0,0,675
0,765,7918,22,22,676
0,766,7947,16,16,678
0,766,7956,16,16,678
0,767,7947,16,16,678
0,767,7956,16,16,678
0,768,7962,0,0,679
0,769,7973,12,12,680
0,770,7974,22,22,680
0,770,7984,22,22,680
0,771,8004,9,9,682
0,772,8023,9,9,684
0,773,8026,14,14,684
0,774,8028,12,12,684
0,775,8056,9,9,686
0,776,8071,0,0,687
0,776,8073,0,0,687
0,777,8080,9,9,688
0,778,8079,22,22,688
0,779,8106,0,0,689
0,780,8106,0,0,689
0,781,8114,22,22,690
0,781,8122,22,22,690
0,782,8132,9,9,691
0,783,8188,20,20,695
0,783,8198,20,20,695
0,784,8886,9,9,754
0,785,8194,0,0,695
0,786,8188,20,20,695
0,786,8198,20,20,695
0,787,8194,0,0,695
0,788,8210,4,4,697
0,789,8216,5,5,697
0,790,8219,0,0,697
0,791,8210,4,4,697
0,792,8229,16,16,698
0,793,8229,16,16,698
0,794,8235,0,0,699
0,794,8242,0,0,699
0,795,8261,0,0,701
0,796,8261,0,0,701
0,797,8280,5,5,702
0,797,8284,5,5,702
0,798,8279,4,4,702
0,798,8282,4,4,702
0,799,8277,20,20,702
0,799,8283,20,20,702
0,800,8292,0,0,703
0,801,8291,2,2,703
0,802,8289,1,1,703
0,803,8306,20,20,704
0,803,8310,20,20,704
0,804,8296,4,4,704
0,805,8309,5,5,704
0,806,8296,4,4,704
0,807,8306,20,20,704
0,807,8310,20,20,704
0,808,8309,5,5,704
0,809,8330,4,4,707
0,810,8331,5,5,707
0,811,8332,0,0,707
0,812,8329,20,20,707
0,813,8357,16,16,710
0,813,8368,16,16,710
0,814,8385,20,20,713
0,814,8389,20,20,713
0,815,8385,20,20,713
0,815,8389,20,20,713
0,816,8387,0,0,713
0,817,8449,0,0,718
0,818,8469,0,0,720
0,819,8477,16,16,720
0,819,8480,16,16,720
0,820,8481,1,1,721
0,821,8549,0,0,726
0,822,8543,13,13,725
0,823,8562,4,4,727
0,823,8572,4,4,727
0,824,8556,5,5,727
0,824,8571,5,5,727
0,825,8562,4,4,727
0,825,8572,4,4,727
0,826,8563,2,2,727
0,826,8573,2,2,727
0,827,8563,2,2,727
0,827,8573,2,2,727
0,828,8556,5,5,727
0,828,8571,5,5,727
0,829,8629,16,16,731
0,830,8652,1,1,733
0,830,8655,1,1,733
0,831,8635,2,2,732
0,832,8632,5,5,732
0,832,8637,5,5,732
0,833,8638,4,4,732
0,833,8642,4,4,732
0,834,8636,0,0,732
0,835,8652,1,1,733
0,835,8655,1,1,733
0,836,8636,0,0,732
0,837,8635,2,2,732
0,838,8688,0,0,736
0,839,8704,0,0,738
0,840,8728,0,0,740
0,841,8750,13,13,742
0,841,8751,13,13,742
0,842,8789,0,0,746
0,842,8795,0,0,746
0,843,8744,24,24,742
0,844,8828,0,0,748
0,845,8828,0,0,748
0,846,8826,11,11,748
0,847,8817,13,13,748
0,847,8824,13,13,748
0,848,8818,12,12,748
0,849,8859,0,0,751
0,850,8864,1,1,752
0,850,8871,1,1,752
0,851,8870,2,2,752
0,852,8870,2,2,752
0,853,8876,0,0,753
0,854,8887,1,1,754
0,854,8891,1,1,754
0,855,8930,2,2,758
0,856,8887,1,1,754
0,856,8891,1,1,754
0,857,8914,0,0,756
0,858,8914,0,0,756
0,859,8944,0,0,759
0,860,8954,16,16,760
0,861,8965,2,2,762
0,862,8958,20,20,761
0,863,8970,0,0,763
0,863,8974,0,0,763
0,864,9616,23,23,815
0,865,8957,1,1,761
0,866,8964,12,12,762
0,867,8992,9,9,765
0,868,8964,12,12,762
0,869,9001,16,16,765
0,870,8975,20,20,763
0,871,8984,22,22,764
0,872,8996,14,14,765
0,873,9010,20,20,766
0,874,9015,9,9,767
0,875,9065,16,16,771
0,876,9024,22,22,768
0,877,9061,2,2,771
0,877,9075,2,2,771
0,878,9064,1,1,771
0,878,9071,1,1,771
0,879,9061,2,2,771
0,879,9075,2,2,771
0,880,9090,9,9,773
0,881,9137,20,20,776
0,882,9147,9,9,777
0,883,9134,4,4,776
0,884,9144,5,5,777
0,884,9148,5,5,777
0,885,9134,4,4,776
0,886,9138,0,0,777
0,887,9165,16,16,778
0,888,9199,9,9,781
0,889,9211,2,2,782
0,889,9213,2,2,782
0,890,9210,1,1,782
0,890,9212,1,1,782
0,891,9205,22,22,782
0,892,9244,24,24,785
0,893,9220,16,16,782
0,894,9235,1,1,784
0,894,9237,1,1,784
0,895,9234,2,2,784
0,895,9238,2,2,784
0,896,9235,1,1,784
0,896,9237,1,1,784
0,897,9234,2,2,784
0,897,9238,2,2,784
